1 a                   un                                      
123 accent              acento                                  

124 accentuation        acentuación                             

125 acceptability       aceptabilidad                           

126 acceptable          aceptable                               

127 acceptably          aceptablemente                          

128 acceptance          acepto                                  

129 accessible          accesible                               

130 accession           asentimiento                            

131 accessories         accesorios                              

132 accessory           accesorio                               

133 accident            accidente                               

134 accidental          accidental                              

135 accidentally        accidentalmente                         

136 acclamation         aclamación                              

137 acclimate           aclimatar                               

138 acclimation         aclimatación                            

139 acclimatization     aclimatación                            

140 acclivity           subida                                  

141 accolade            espaldarazo                             

142 accommodating       servicial                               

143 accommodation       acomodación                             

144 accompaniment       acompañamiento                          

145 accompanist         acompañante                             

146 accomplice          cómplice                                

147 accomplished        cumplido                                

148 accomplishment      cumplimiento                            

149 accord              acuerdo                                 

150 accordance          acuerdo                                 

151 according           conforme                                

152 accordingly         de acuerdo con                          

153 accordion           acordeón                                

154 accordionist        acordeonista                            

155 accountability      responsabilidad                         

156 accountable         responsable                             

157 accountancy         contabilidad                            

158 accountant          contable                                

159 accounting          contabilidad                            

160 accreditation       acreditación                            

161 accredited          acreditado                              

162 accrual             incremento                              

163 accumulated         acumulado                               

164 accumulation        acumulación                             

165 accumulative        acumulativo                             

166 accumulator         acumulador                              

167 accuracy            exactitud                               

168 accurate            preciso                                 

169 accursed            maldito                                 

170 accusation          acusación                               

171 accusative          acusativo                               

172 accusatory          acusatorio                              

173 accused             acusado                                 

174 accuser             acusador                                

175 accustomed          acostumbrado                            

176 ace                 as                                      

177 acerbity            acerbidad                               

178 acetate             acetato                                 

179 acetic              acético                                 

180 acetone             acetona                                 

181 acetylene           acetileno                               

182 ache                dolor                                   

183 achievement         logro                                   

184 aching              dolor                                   

185 acid                ácido                                   

186 acidic              agrio                                   

187 acidity             acidez                                  

188 acidosis            acidosis                                

189 acknowledgment      acuse de recibo                         

190 acme                apogeo                                  

191 acne                acné                                    

192 acolyte             acólito                                 

193 acorn               bellota                                 

194 acoustic            acústico                                

195 acoustics           acústica                                

196 acquaint            enterar                                 

197 acquaintance        conocimiento                            

198 acquaintances       conocidos                               

199 acquiescence        asentimiento                            

200 acquiescent         conforme                                

201 acquired            adquirido                               

202 acquirement         adquisición                             

203 acquisition         adquisición                             

204 acquisitive         adquisitivo                             

205 acquit              descargar                               

206 acquittal           descargo                                

207 acre                acre                                    

208 acreage             extensión en acres                      

209 acrid               acre                                    

210 acridity            acritud                                 

211 acrimonious         acre                                    

212 acrobat             acróbata                                

213 acrobatic           acrobático                              

214 acrobatics          acrobacia                               

215 acronym             sigla                                   

216 acrophobia          acrofobia                               

217 across              por                                     

218 acrylic             acrílico                                

219 act                 acto                                    

220 acting              acción                                  

221 actinium            actinio                                 

222 action              acción                                  

223 active              activo                                  

224 actively            activamente                             

225 activist            activista                               

226 activity            actividad                               

227 actor               actor                                   

228 actress             actriz                                  

229 actual              efectivo                                

230 actuality           realidad                                

231 actually            realmente                               

232 actuary             escribano                               

233 acuity              agudeza                                 

234 acupuncture         acupuntura                              

235 acute               agudo                                   

236 acutely             agudamente                              

237 acuteness           agudeza                                 

238 adage               proverbio                               

239 adagio              adagio                                  

240 adamant             inexorable                              

241 adaptability        adaptabilidad                           

242 adaptable           adaptable                               

243 adaptation          adaptación                              

244 adapter             adaptador                               

245 adaptive            adaptable                               

246 addendum            añadido                                 

247 adder               sumador                                 

248 addict              adicto                                  

249 addiction           adicción                                

250 addition            adición                                 

251 additional          adicional                               

252 additionally        adicionalmente                          

253 additive            aditivo                                 

254 addle               podrido                                 

255 address             dirección                               

256 addressee           destinatario                            

257 adenocarcinoma      adenocarcinoma                          

258 adept               adepto                                  

259 adeptly             diestramente                            

260 adeptness           destreza                                

261 adequacy            suficiencia                             

262 adequate            adecuado                                

263 adequately          adecuadamente                           

264 adherence           adhesión                                

265 adherent            adhesivo                                

266 adhesion            adherencia                              

267 adhesive            adhesivo                                

268 adhesiveness        adhesividad                             

269 adieu               adiós                                   

270 adipose             adiposo                                 

271 adjacent            adyacente                               

272 adjectival          adjetivo                                

273 adjective           adjetivo                                

274 adjoining           inmediato                               

275 adjourn             prórroga                                

276 adjournment         aplazamiento                            

277 adjudication        juicio                                  

278 adjudicator         juez                                    

279 adjunct             adjunto                                 

280 adjuster            ajustador                               

281 adjustment          ajuste                                  

282 adjutant            ayudante                                

283 administration      administración                          

284 administrative      administrativo                          

285 administrator       administrador                           

286 admirable           admirable                               

287 admirably           admirablemente                          

288 admiral             almirante                               

289 admiralty           almirantazgo                            

290 admiration          admiración                              

291 admirer             admirador                               

292 admiringly          admirativamente                         

293 admissible          admisible                               

294 admission           admisión                                

295 admittance          admisión                                

296 admittedly          reconocidamente                         

297 admixture           mezcla                                  

298 admonishment        amonestación                            

299 admonition          amonestación                            

300 adolescence         adolescencia                            

301 adolescent          adolescente                             

302 adoption            adopción                                

303 adoptive            adoptivo                                

304 adorable            adorable                                

305 adoration           adoración                               

306 adorer              adorador                                

307 adornment           adorno                                  

308 adrenalin           adrenalina                              

309 adrenaline          adrenalina                              

310 adrift              a la deriva                             

311 adroit              diestro                                 

312 adroitness          destreza                                

313 adsorption          adsorción                               

314 adulation           adulación                               

315 adult               adulto                                  

316 adulteration        adulteración                            

317 adulterer           adúltero                                

318 adulteress          adúltera                                

319 adulterous          adúltero                                

320 adultery            adulterio                               

321 adulthood           edad adulta                             

322 advance             adelanto                                

323 advanced            avanzado                                

324 advancement         adelantamiento                          

325 advantage           ventaja                                 

326 advantageous        ventajoso                               

327 advantageously      ventajosamente                          

328 advent              advenimiento                            

329 adventitious        adventicio                              

330 adventure           aventura                                

331 adventurer          aventurero                              

332 adventuress         aventurera                              

333 adventurous         aventurado                              

334 adventurously       arriesgadamente                         

335 adverb              adverbio                                

336 adverbial           adverbial                               

337 adversary           adversario                              

338 adverse             adverso                                 

339 adversely           adversamente                            

340 adversity           adversidad                              

341 advertisement       anuncio                                 

342 advertiser          anunciante                              

343 advertising         publicidad                              

344 advice              consejo                                 

345 advisability        prudencia                               

346 advisable           aconsejable                             

347 advisably           prudentemente                           

348 advisedly           deliberadamente                         

349 advisement          consideración                           

350 adviser             asesor                                  

351 advisor             asesor                                  

352 advocacy            abogacía                                

353 advocate            abogado                                 

354 aegis               amparo                                  

355 Aeneas              Eneas                                   

356 aeration            ventilación                             

357 aerial              antena                                  

358 aerie               nido de águila                          

359 aerodynamic         aerodinámico                            

360 aerodynamics        aerodinámica                            

361 aeronautic          aeronáutico                             

362 aeronautics         aeronáutica                             

363 aeroplane           aeroplano                               

364 aerosol             aerosol                                 

365 aerospace           aerospacial                             

366 aesthetic           estético                                

367 aesthetics          estética                                

368 afar                lejos                                   

369 affability          afabilidad                              

370 affable             afable                                  

371 affably             afablemente                             

372 affair              asunto                                  

373 affectation         afectación                              

374 affected            afectado                                

375 affecting           conmovedor                              

376 affection           afecto                                  

377 affectionate        afectuoso                               

378 affectionately      afectuosamente                          

379 affiance            confianza                               

380 affiliate           afiliado                                

381 affiliation         afiliación                              

382 affinity            afinidad                                

383 affirmation         afirmación                              

384 affirmative         afirmativo                              

385 affirmatively       afirmativamente                         

386 affix               añadidura                               

387 affliction          aflicción                               

388 affluence           afluencia                               

389 affluent            abundante                               

390 affordable          económico                               

391 affront             afrenta                                 

392 Afghan              afgano                                  

393 aficionado          aficionado                              

394 afield              lejos de casa                           

395 afire               ardiendo                                

396 aflame              en llamas                               

397 afloat              flotante                                

398 afoot               a pie                                   

399 aforementioned      antes mencionado                        

400 aforesaid           antes mencionado                        

401 aforethought        premeditación                           

402 afraid              asustado                                

403 afresh              de nuevo                                

404 Africa              África                                  

405 African             africano                                

406 aft                 a popa                                  

407 after               después                                 

408 afterdeck           cubierta de popa                        

409 aftereffect         resultados                              

410 aftermath           consecuencia                            

411 afternoon           tarde                                   

412 aftertaste          regusto                                 

413 afterthought        ocurrencia tardía                       

414 afterward           después                                 

415 afterwards          después                                 

416 again               de nuevo                                

417 against             contra                                  

418 agape               ágape                                   

419 agate               ágata                                   

420 age                 edad                                    

421 aged                viejo                                   

422 ageism              discriminación contra los ancianos      

423 ageless             eterno                                  

424 agency              agencia                                 

425 agenda              agenda                                  

426 agent               agente                                  

427 agglomerate         aglomerado                              

428 agglomeration       aglomeración                            

429 agglutination       aglutinación                            

430 aggrandizement      engrandecimiento                        

431 aggravating         agravante                               

432 aggravation         agravamiento                            

433 aggregate           agregado                                

434 aggression          agresión                                

435 aggressive          agresivo                                

436 aggressively        agresivamente                           

437 aggressiveness      agresividad                             

438 aggressor           agresor                                 

439 aggrieved           afligido                                

440 aghast              espantado                               

441 agile               ágil                                    

442 agility             agilidad                                

443 aging               envejecimiento                          

444 agitated            agitado                                 

445 agitation           agitación                               

446 agitator            agitador                                

447 agleam              brillante                               

448 aglow               encendido                               

449 agnostic            agnóstico                               

450 agnosticism         agnosticismo                            

451 ago                 hace                                    

452 agog                ansiosamente                            

453 agonizing           agónico                                 

454 agony               agonía                                  

455 agoraphobia         agorafobia                              

456 agrarian            agrario                                 

457 agreeable           conforme                                

458 agreeably           agradablemente                          

459 agreed              acordado                                

460 agreement           acuerdo                                 

461 agricultural        agrícola                                

462 agriculture         agricultura                             

463 agriculturist       agricultor                              

464 agronomic           agronómico                              

465 agronomy            agronomía                               

466 aground             varado                                  

467 ahead               adelantado                              

468 aid                 ayuda                                   

469 aide                ayudante                                

470 AIDS                SIDA                                    

471 aileron             alerón                                  

472 ailing              enfermo                                 

473 ailment             dolencia                                

474 aimless             sin objeto                              

475 air                 aire                                    

476 air-conditioned     con aire acondicionado                  

477 air-conditioning    acondicionamiento de aire               

478 airbag              airbag                                  

479 aircraft            avión                                   

480 airfield            campo de aviación                       

481 airiness            viveza                                  

482 airing              ventilación                             

483 airlift             puente aéreo                            

484 airline             linea aérea                             

485 airliner            avión de transporte                     

486 airmail             correo aéreo                            

487 airman              aviador                                 

488 airport             aeropuerto                              

489 airship             aeronave                                

490 airsick             mareado (en avión)                      

491 airstrip            pista de aterrizaje                     

492 airtight            hermético                               

493 airway              vía aérea                               

494 airy                airoso                                  

495 aisle               pasillo                                 

496 ajar                entreabierto                            

497 akin                semejante                               

498 Alabama             Alabama                                 

499 alacrity            diligencia                              

500 alarm               alarma                                  

501 alarmed             alarmado                                

502 alarming            alarmante                               

503 alarmist            alarmista                               

504 alas                ay                                      

505 Alaska              Alaska                                  

506 Albania             Albania                                 

507 Albanian            albanés                                 

508 albeit              aunque                                  

509 albino              albino                                  

510 album               álbum                                   

511 albumin             albúmina                                

512 alchemist           alquimista                              

513 alcohol             alcohol                                 

514 alcoholic           alcohólico                              

515 alcoholism          alcoholismo                             

516 alcove              alcoba                                  

517 aldehyde            aldehído                                

518 ale                 ale (cerveza inglesa)                   

519 alert               alarma                                  

520 alertness           vigilancia                              

521 alfalfa             alfalfa                                 

522 alga                alga                                    

523 algebra             álgebra                                 

524 algebraic           algebraico                              

525 algorithm           algoritmo                               

526 alias               alias                                   

527 alibi               coartada                                

528 alien               extranjero                              

529 alienable           alienable                               

530 alienation          alienación                              

531 alienist            psiquiatra                              

532 alight              encendido                               

533 alignment           alineación                              

534 alike               por igual                               

535 aliment             alimento                                

536 alimentary          alimentario                             

537 alimony             pensión                                 

538 alive               vivo                                    

539 alkali              álcali                                  

540 alkalinity          alcalinidad                             

541 all                 todo                                    

542 Allah               Alá                                     

543 allegation          alegación                               

544 alleged             alegado                                 

545 allegedly           pretendidamente                         

546 allegiance          obediencia                              

547 allegoric           alegórico                               

548 allegorical         alegórico                               

549 allegory            alegoría                                

550 allegro             alegro                                  

551 allergen            alérgeno                                

552 allergic            alérgico                                

553 allergy             alergia                                 

554 alleviation         alivio                                  

555 alley               callejón                                

556 alliance            alianza                                 

557 allied              aliado                                  

558 alligator           caimán                                  

559 alliteration        aliteración                             

560 alliterative        aliterado                               

561 allmouth            rape                                    

562 allocation          asignación                              

563 allotment           reparto                                 

564 allowable           aceptable                               

565 allowance           concesión                               

566 allowed             permitido                               

567 alloy               aleación                                

568 allspice            pimienta inglesa                        

569 alluring            seductor                                

570 allusion            alusión                                 

571 allusive            alusivo                                 

572 alluvial            de aluvión                              

573 alluvium            aluvión                                 

574 ally                aliado                                  

575 almanac             almanaque                               

576 almighty            omnipotente                             

577 almond              almendra                                

578 Almoravid           almorávide                              

579 almost              casi                                    

580 alms                limosnas                                

581 aloft               arriba                                  

582 alone               solo                                    

583 along               a lo largo de                           

584 alongshore          a lo largo de la costa                  

585 alongside           a lo largo de                           

586 aloof               apartado                                

587 aloofness           alejamiento                             

588 aloud               en voz alta                             

589 alpaca              alpaca                                  

590 alpha               alfa                                    

591 alphabet            alfabeto                                

592 alphabetic          alfabético                              

593 alphabetical        alfabético                              

594 alpine              alpino                                  

595 Alps                Alpes                                   

596 already             ya                                      

597 Alsace              Alsacia                                 

598 also                también                                 

599 altar               altar                                   

600 alteration          alteración                              

601 altercation         altercado                               

602 alternate           alternativa                             

603 alternating         alterno                                 

604 alternation         alternancia                             

605 alternative         alternativa                             

606 although            aunque                                  

607 altitude            altitud                                 

608 alto                contralto                               

609 altogether          generalmente                            

610 altruism            altruismo                               

611 altruist            altruista                               

612 altruistic          altruista                               

613 alum                alumbre                                 

614 alumina             alúmina                                 

615 aluminum            aluminio                                

616 alumnus             alumno                                  

617 always              siempre                                 

618 amalgam             amalgama                                

619 amalgamate          amalgamar                               

620 amalgamation        amalgamación                            

621 amass               amontonar                               

622 amateur             aficionado                              

623 amateurish          chapucero                               

624 amatory             amatorio                                

625 amazed              asombrado                               

626 amazement           asombro                                 

627 amazing             asombroso                               

628 amazingly           increíblemente                          

629 ambassador          embajador                               

630 amber               ámbar                                   

631 ambidextrous        ambidextro                              

632 ambient             ambiente                                

633 ambiguity           ambigüedad                              

634 ambiguous           ambiguo                                 

635 ambition            ambición                                

636 ambitious           ambicioso                               

637 amble               ambladura (de un caballo)               

638 ambrosia            ambrosía                                

639 ambulance           ambulancia                              

640 ambulant            ambulante                               

641 ambush              emboscada                               

642 ameba               ameba                                   

643 ameliorate          mejorar                                 

644 amelioration        mejora                                  

645 amen                amén                                    

646 amenable            dócil                                   

647 amend               enmendar                                

648 amendment           enmienda                                

649 amenity             amenidad                                

650 America             América                                 

651 American            americano                               

652 Americanism         americanismo                            

653 Americanize         americanizar                            

654 amiability          amabilidad                              

655 amiable             amable                                  

656 amicability         amistad                                 

657 amicable            amigable                                

658 amicably            amistosamente                           

659 amid                en medio de                             

660 amidships           en medio del buque                      

661 amidst              en medio de                             
